fold,method,K,history_alpha,history_mse,history_phase,grid_optimized_alpha,alpha_diff,alpha_diff_abs
1,acos,10,0.05,1.049398163641189,fine,0.05,0.0,0.0
1,acos,20,0.05,1.0032596505526656,fine,0.05,0.0,0.0
1,acos,30,0.1,0.9982755708800896,fine,0.2,-0.1,0.1
1,acos,40,0.15,0.9957052423152978,fine,0.25,-0.1,0.1
1,acos,50,0.15,0.9973420287278248,fine,0.25,-0.1,0.1
1,acos,60,0.2,0.998374546294746,fine,0.3,-0.09999999999999998,0.09999999999999998
1,acos,70,0.2,0.9998297803599456,fine,0.3,-0.09999999999999998,0.09999999999999998
1,acos,80,0.25,1.000861867660216,fine,0.35,-0.09999999999999998,0.09999999999999998
1,acos,90,0.25,1.001844294058053,fine,0.35,-0.09999999999999998,0.09999999999999998
1,acos,100,0.25,1.0030766517676943,fine,0.35,-0.09999999999999998,0.09999999999999998
1,ami,10,0.1,1.0094365037666624,fine,0.3,-0.19999999999999998,0.19999999999999998
1,ami,20,0.25,0.9787103645740692,fine,0.4,-0.15000000000000002,0.15000000000000002
1,ami,30,0.4,0.9769330302474232,fine,0.55,-0.15000000000000002,0.15000000000000002
1,ami,40,0.5,0.9792304482880432,coarse,0.65,-0.15000000000000002,0.15000000000000002
1,ami,50,0.55,0.9809431434157458,fine,0.7000000000000001,-0.15000000000000002,0.15000000000000002
1,ami,60,0.6000000000000001,0.9833968583360332,fine,0.75,-0.1499999999999999,0.1499999999999999
1,ami,70,0.6500000000000001,0.984915387496216,fine,0.8000000000000003,-0.15000000000000013,0.15000000000000013
1,ami,80,0.6500000000000001,0.9862948775997782,fine,0.8000000000000003,-0.15000000000000013,0.15000000000000013
1,ami,90,0.7000000000000002,0.9868457090182154,fine,0.8000000000000003,-0.10000000000000009,0.10000000000000009
1,ami,100,0.7000000000000002,0.9875930164837252,fine,0.8000000000000003,-0.10000000000000009,0.10000000000000009
1,ari,10,0.1,1.0103353099800931,fine,0.25,-0.15,0.15
1,ari,20,0.2,0.9795660004256606,fine,0.35,-0.14999999999999997,0.14999999999999997
1,ari,30,0.35,0.978237169993168,fine,0.45,-0.10000000000000003,0.10000000000000003
1,ari,40,0.4,0.9784057823640692,fine,0.55,-0.15000000000000002,0.15000000000000002
1,ari,50,0.45,0.9809699566098156,fine,0.6000000000000001,-0.15000000000000008,0.15000000000000008
1,ari,60,0.5,0.9832318066868928,coarse,0.65,-0.15000000000000002,0.15000000000000002
1,ari,70,0.55,0.9848854113613698,fine,0.65,-0.09999999999999998,0.09999999999999998
1,ari,80,0.55,0.9858449961442968,fine,0.7000000000000001,-0.15000000000000002,0.15000000000000002
1,ari,90,0.6000000000000001,0.9867085779215212,fine,0.7000000000000001,-0.09999999999999998,0.09999999999999998
1,ari,100,0.6000000000000001,0.9874459906384664,fine,0.7000000000000001,-0.09999999999999998,0.09999999999999998
1,chebyshev,10,6.5,0.6444085672993621,coarse,4.5,2.0,2.0
1,chebyshev,20,8.5,0.6460137192571389,coarse,6.0,2.5,2.5
1,chebyshev,30,9.5,0.6504138994032294,coarse,7.0,2.5,2.5
1,chebyshev,40,10.0,0.6535082934950825,coarse,7.5,2.5,2.5
