fold,method,alpha,type,K,TopN,validation_mse,validation_rmse,validation_precision,validation_recall,regularization_penalty,regularized_score,test_RMSE,test_MAD,test_Precision,test_Recall,RMSE,MAD,Precision,Recall
5,acos,7.0,optimized,10,5,1.1042098099593867,1.0508138797900353,0.5777836691410393,0.5024761812385016,0.012,1.1162098099593867,1.0236894122102407,0.8195813447707336,0.5766702014846234,0.6629358976821611,1.0236894122102407,0.8195813447707336,0.5766702014846234,0.6629358976821611
5,acos,1.0,baseline,10,5,,,,,0.0,,1.0802053840439392,0.866582035569026,0.654506892895016,0.7154655550737983,1.0802053840439392,0.866582035569026,0.654506892895016,0.7154655550737983
5,acos,7.0,optimized,10,10,1.1042098099593867,1.0508138797900353,0.5705671699574137,0.6918135015215578,0.012,1.1162098099593867,1.0236894122102407,0.8195813447707336,0.5706429160564898,0.8267691979268769,1.0236894122102407,0.8195813447707336,0.5706429160564898,0.8267691979268769
5,acos,1.0,baseline,10,10,,,,,0.0,,1.0802053840439392,0.866582035569026,0.619953626554899,0.8737592118009112,1.0802053840439392,0.866582035569026,0.619953626554899,0.8737592118009112
5,acos,7.0,optimized,10,15,1.1042098099593867,1.0508138797900353,0.5686032625322126,0.7840301276838717,0.012,1.1162098099593867,1.0236894122102407,0.8195813447707336,0.5718139613420632,0.908442906741701,1.0236894122102407,0.8195813447707336,0.5718139613420632,0.908442906741701
5,acos,1.0,baseline,10,15,,,,,0.0,,1.0802053840439392,0.866582035569026,0.5994562377648273,0.9423633257701989,1.0802053840439392,0.866582035569026,0.5994562377648273,0.9423633257701989
5,acos,7.0,optimized,10,20,1.1042098099593867,1.0508138797900353,0.571306864763416,0.8512780801089328,0.012,1.1162098099593867,1.0236894122102407,0.8195813447707336,0.572727473758248,0.9503207704778872,1.0236894122102407,0.8195813447707336,0.572727473758248,0.9503207704778872
5,acos,1.0,baseline,10,20,,,,,0.0,,1.0802053840439392,0.866582035569026,0.588846243641599,0.9734337384607601,1.0802053840439392,0.866582035569026,0.588846243641599,0.9734337384607601
5,acos,7.0,optimized,10,25,1.1042098099593867,1.0508138797900353,0.572130679935749,0.8971844305388791,0.012,1.1162098099593867,1.0236894122102407,0.8195813447707336,0.5736663142221933,0.9732727528257469,1.0236894122102407,0.8195813447707336,0.5736663142221933,0.9732727528257469
5,acos,1.0,baseline,10,25,,,,,0.0,,1.0802053840439392,0.866582035569026,0.5824468020270714,0.9877394480848385,1.0802053840439392,0.866582035569026,0.5824468020270714,0.9877394480848385
5,acos,7.0,optimized,10,30,1.1042098099593867,1.0508138797900353,0.5724842540049042,0.9280218189810915,0.012,1.1162098099593867,1.0236894122102407,0.8195813447707336,0.5749329716109117,0.9869950968065078,1.0236894122102407,0.8195813447707336,0.5749329716109117,0.9869950968065078
5,acos,1.0,baseline,10,30,,,,,0.0,,1.0802053840439392,0.866582035569026,0.5792454495182995,0.9946852597332642,1.0802053840439392,0.866582035569026,0.5792454495182995,0.9946852597332642
5,acos,7.0,optimized,10,35,1.1042098099593867,1.0508138797900353,0.5730118891640421,0.9489138221167115,0.012,1.1162098099593867,1.0236894122102407,0.8195813447707336,0.5753244880987742,0.9933336344582422,1.0236894122102407,0.8195813447707336,0.5753244880987742,0.9933336344582422
5,acos,1.0,baseline,10,35,,,,,0.0,,1.0802053840439392,0.866582035569026,0.5773847819936386,0.9974562018410649,1.0802053840439392,0.866582035569026,0.5773847819936386,0.9974562018410649
5,acos,7.0,optimized,10,40,1.1042098099593867,1.0508138797900353,0.5743474031886223,0.9653667488777422,0.012,1.1162098099593867,1.0236894122102407,0.8195813447707336,0.5754768711431035,0.9967760952390001,1.0236894122102407,0.8195813447707336,0.5754768711431035,0.9967760952390001
5,acos,1.0,baseline,10,40,,,,,0.0,,1.0802053840439392,0.866582035569026,0.5765108053954895,0.999120548156404,1.0802053840439392,0.866582035569026,0.5765108053954895,0.999120548156404
5,acos,7.0,optimized,10,45,1.1042098099593867,1.0508138797900353,0.5745884205994868,0.9756965044847802,0.012,1.1162098099593867,1.0236894122102407,0.8195813447707336,0.5754371664898148,0.9977462046472291,1.0236894122102407,0.8195813447707336,0.5754371664898148,0.9977462046472291
5,acos,1.0,baseline,10,45,,,,,0.0,,1.0802053840439392,0.866582035569026,0.5760027373629149,0.9993889677737992,1.0802053840439392,0.866582035569026,0.5760027373629149,0.9993889677737992
5,acos,7.0,optimized,10,50,1.1042098099593867,1.0508138797900353,0.5749569539335193,0.9835299666899205,0.012,1.1162098099593867,1.0236894122102407,0.8195813447707336,0.5754676993816564,0.9987881219903691,1.0236894122102407,0.8195813447707336,0.5754676993816564,0.9987881219903691
5,acos,1.0,baseline,10,50,,,,,0.0,,1.0802053840439392,0.866582035569026,0.5757858329977753,0.9998674733506194,1.0802053840439392,0.866582035569026,0.5757858329977753,0.9998674733506194
5,acos,0.05,optimized,20,5,1.0588530821140538,1.0290058707869716,0.7069459172852598,0.560942154355814,0.0019,1.0607530821140538,1.00227085672195,0.7994228445851078,0.6661717921527042,0.723170758120276,1.00227085672195,0.7994228445851078,0.6661717921527042,0.723170758120276
5,acos,1.0,baseline,20,5,,,,,0.0,,1.0358517207937856,0.8278319135156323,0.6615058324496288,0.7197938200045827,1.0358517207937856,0.8278319135156323,0.6615058324496288,0.7197938200045827
5,acos,0.05,optimized,20,10,1.0588530821140538,1.0290058707869716,0.6619775623222072,0.7603723004535887,0.0019,1.0607530821140538,1.00227085672195,0.7994228445851078,0.6249377198740931,0.879392996748301,1.00227085672195,0.7994228445851078,0.6249377198740931,0.879392996748301
5,acos,1.0,baseline,20,10,,,,,0.0,,1.0358517207937856,0.8278319135156323,0.6224986954838493,0.8765986100724585,1.0358517207937856,0.8278319135156323,0.6224986954838493,0.8765986100724585
5,acos,0.05,optimized,20,15,1.0588530821140538,1.0290058707869716,0.6354113219171544,0.8469769629038435,0.0019,1.0607530821140538,1.00227085672195,0.7994228445851078,0.60193061033464,0.9459798921268854,1.00227085672195,0.7994228445851078,0.60193061033464,0.9459798921268854
5,acos,1.0,baseline,20,15,,,,,0.0,,1.0358517207937856,0.8278319135156323,0.6011529503841275,0.9441502766990946,1.0358517207937856,0.8278319135156323,0.6011529503841275,0.9441502766990946
