fold,method,alpha,type,K,TopN,RMSE,MAD,Precision,Recall,lambda
3,acos,0.05,optimized,10,5,1.0466516942834982,0.8397856167668549,0.6544892188052316,0.7160277386762145,0.015
3,acos,0.05,optimized,10,10,1.0466516942834982,0.8397856167668549,0.6179375178844957,0.8755886754436067,0.015
3,acos,0.05,optimized,10,15,1.0466516942834982,0.8397856167668549,0.5964739514050225,0.9416387330472615,0.015
3,acos,0.05,optimized,10,20,1.0466516942834982,0.8397856167668549,0.5860912353151074,0.9724354937935178,0.015
3,acos,0.05,optimized,10,25,1.0466516942834982,0.8397856167668549,0.5791902966423029,0.9868870906648708,0.015
3,acos,0.05,optimized,10,30,1.0466516942834982,0.8397856167668549,0.5752876239576797,0.9934942857456337,0.015
3,acos,0.05,optimized,10,35,1.0466516942834982,0.8397856167668549,0.5733869678738986,0.9960464386652714,0.015
3,acos,0.05,optimized,10,40,1.0466516942834982,0.8397856167668549,0.5726662624495598,0.9981263915913526,0.015
3,acos,0.05,optimized,10,45,1.0466516942834982,0.8397856167668549,0.5722997716865507,0.9986997661219018,0.015
3,acos,0.05,optimized,10,50,1.0466516942834982,0.8397856167668549,0.5720805781827163,0.9991095875759392,0.015
3,acos,0.2,optimized,20,5,1.0207239080190837,0.8184564423768091,0.663396960056557,0.7219491950740086,0.015
3,acos,0.2,optimized,20,10,1.0207239080190837,0.8184564423768091,0.6211188540456832,0.8790723673248567,0.015
3,acos,0.2,optimized,20,15,1.0207239080190837,0.8184564423768091,0.5985241458200101,0.9439450359219588,0.015
3,acos,0.2,optimized,20,20,1.0207239080190837,0.8184564423768091,0.5866214580086387,0.9731896995939325,0.015
3,acos,0.2,optimized,20,25,1.0207239080190837,0.8184564423768091,0.5793175500887504,0.9869725684368895,0.015
3,acos,0.2,optimized,20,30,1.0207239080190837,0.8184564423768091,0.5753583203168172,0.9933716785390854,0.015
3,acos,0.2,optimized,20,35,1.0207239080190837,0.8184564423768091,0.5734475647531593,0.9965518399600077,0.015
3,acos,0.2,optimized,20,40,1.0207239080190837,0.8184564423768091,0.572719284718913,0.998380809031532,0.015
3,acos,0.2,optimized,20,45,1.0207239080190837,0.8184564423768091,0.5723469025926424,0.9988965659849975,0.015
3,acos,0.2,optimized,20,50,1.0207239080190837,0.8184564423768091,0.5721017870904577,0.9991443484213229,0.015
3,acos,0.3,optimized,30,5,1.0151618643323692,0.8145957947744651,0.6623365146694944,0.7194369819600055,0.015
3,acos,0.3,optimized,30,10,1.0151618643323692,0.8145957947744651,0.6213309431230957,0.8786520529484729,0.015
3,acos,0.3,optimized,30,15,1.0151618643323692,0.8145957947744651,0.5994431984887977,0.9450016850722694,0.015
3,acos,0.3,optimized,30,20,1.0151618643323692,0.8145957947744651,0.5865154134699325,0.9731383505226643,0.015
3,acos,0.3,optimized,30,25,1.0151618643323692,0.8145957947744651,0.579529639166163,0.9871456551875913,0.015
3,acos,0.3,optimized,30,30,1.0151618643323692,0.8145957947744651,0.5753583203168173,0.9936476125914376,0.015
3,acos,0.3,optimized,30,35,1.0151618643323692,0.8145957947744651,0.5735990569513111,0.9967087028008393,0.015
