fold,method,alpha,type,K,TopN,RMSE,MAD,Precision,Recall
1,pcc,2.6499999999999977,optimized,10,5,1.0409102780209945,0.8249026894479854,0.6694238246730293,0.7137408392553339
1,pcc,2.6499999999999977,optimized,10,10,1.0409102780209945,0.8249026894479854,0.6296621723981214,0.8733307010020442
1,pcc,2.6499999999999977,optimized,10,15,1.0409102780209945,0.8249026894479854,0.6097495117113356,0.9436940365036488
1,pcc,2.6499999999999977,optimized,10,20,1.0409102780209945,0.8249026894479854,0.5978879266464341,0.975128024616204
1,pcc,2.6499999999999977,optimized,10,25,1.0409102780209945,0.8249026894479854,0.5900633605997277,0.9879796448847942
1,pcc,2.6499999999999977,optimized,10,30,1.0409102780209945,0.8249026894479854,0.5864626882595227,0.9952484013880685
1,pcc,2.6499999999999977,optimized,10,35,1.0409102780209945,0.8249026894479854,0.584346102438783,0.9978322271450588
1,pcc,2.6499999999999977,optimized,10,40,1.0409102780209945,0.8249026894479854,0.5832943360217212,0.9990431735130669
1,pcc,2.6499999999999977,optimized,10,45,1.0409102780209945,0.8249026894479854,0.5828648011490494,0.9995108178197395
1,pcc,2.6499999999999977,optimized,10,50,1.0409102780209945,0.8249026894479854,0.5826512733817983,0.9998483242015227
1,pcc,1.0,baseline,10,5,1.0275129176393445,0.8161948193653683,0.6730293389890422,0.7174077468421856
1,pcc,1.0,baseline,10,10,1.0275129176393445,0.8161948193653683,0.631464929556128,0.875508552795896
1,pcc,1.0,baseline,10,15,1.0275129176393445,0.8161948193653683,0.6106685643801233,0.9445177671757327
1,pcc,1.0,baseline,10,20,1.0275129176393445,0.8161948193653683,0.5974637484916091,0.9745986444411987
1,pcc,1.0,baseline,10,25,1.0275129176393445,0.8161948193653683,0.5903178674926227,0.9884745912286307
1,pcc,1.0,baseline,10,30,1.0275129176393445,0.8161948193653683,0.5864980364390914,0.9953101184673095
1,pcc,1.0,baseline,10,35,1.0275129176393445,0.8161948193653683,0.5842249086802616,0.9975297421301087
1,pcc,1.0,baseline,10,40,1.0275129176393445,0.8161948193653683,0.5832678248870445,0.998974340913948
1,pcc,1.0,baseline,10,45,1.0275129176393445,0.8161948193653683,0.582911932055141,0.9996184657943016
1,pcc,1.0,baseline,10,50,1.0275129176393445,0.8161948193653683,0.5826512733817983,0.9998483242015227
1,pcc,3.549999999999998,optimized,20,5,1.0314037396758522,0.8163832725052065,0.6770590314598799,0.718146424637183
1,pcc,3.549999999999998,optimized,20,10,1.0314037396758522,0.8163832725052065,0.6326314194818967,0.8771494889076248
1,pcc,3.549999999999998,optimized,20,15,1.0314037396758522,0.8163832725052065,0.6102443862252982,0.9441603024694455
1,pcc,3.549999999999998,optimized,20,20,1.0314037396758522,0.8163832725052065,0.598259082531906,0.9755053345518293
1,pcc,3.549999999999998,optimized,20,25,1.0314037396758522,0.8163832725052065,0.5905299565700353,0.9886087790056802
1,pcc,3.549999999999998,optimized,20,30,1.0314037396758522,0.8163832725052065,0.5863919919003853,0.9951020626152385
1,pcc,3.549999999999998,optimized,20,35,1.0314037396758522,0.8163832725052065,0.5844066993180438,0.9979032801506009
1,pcc,3.549999999999998,optimized,20,40,1.0314037396758522,0.8163832725052065,0.5832943360217212,0.9990068662080371
1,pcc,3.549999999999998,optimized,20,45,1.0314037396758522,0.8163832725052065,0.582911932055141,0.9995777765731474
1,pcc,3.549999999999998,optimized,20,50,1.0314037396758522,0.8163832725052065,0.5826512733817983,0.9998483242015227
1,pcc,1.0,baseline,20,5,1.0053891664162342,0.8007530000188569,0.6827854365500176,0.7225008454488347
1,pcc,1.0,baseline,20,10,1.0053891664162342,0.8007530000188569,0.6358127556430845,0.8807612311897395
1,pcc,1.0,baseline,20,15,1.0053891664162342,0.8007530000188569,0.6110927425349483,0.944923096802099
1,pcc,1.0,baseline,20,20,1.0053891664162342,0.8007530000188569,0.5979409489157871,0.9750827699152635
1,pcc,1.0,baseline,20,25,1.0053891664162342,0.8007530000188569,0.5905723743855177,0.9888921848878456
1,pcc,1.0,baseline,20,30,1.0053891664162342,0.8007530000188569,0.5863566437208164,0.9950646313632188
1,pcc,1.0,baseline,20,35,1.0053891664162342,0.8007530000188569,0.5842855055595222,0.9976401791668675
1,pcc,1.0,baseline,20,40,1.0053891664162342,0.8007530000188569,0.5832678248870445,0.9989786977905515
1,pcc,1.0,baseline,20,45,1.0053891664162342,0.8007530000188569,0.5829590629612327,0.9996944190071223
1,pcc,1.0,baseline,20,50,1.0053891664162342,0.8007530000188569,0.5826724822895395,0.9998863008079331
1,pcc,4.099999999999998,optimized,30,5,1.0350866179100986,0.8184902802427665,0.6774832096147049,0.7187627831051632
1,pcc,4.099999999999998,optimized,30,10,1.0350866179100986,0.8184902802427665,0.6322072413270716,0.8763370964060079
1,pcc,4.099999999999998,optimized,30,15,1.0350866179100986,0.8184902802427665,0.6103857789435732,0.9444041012404515
1,pcc,4.099999999999998,optimized,30,20,1.0350866179100986,0.8184902802427665,0.5979939711851402,0.9751685074533873
1,pcc,4.099999999999998,optimized,30,25,1.0350866179100986,0.8184902802427665,0.5901057784152103,0.988117470827414
1,pcc,4.099999999999998,optimized,30,30,1.0350866179100986,0.8184902802427665,0.5863919919003853,0.9950395468148372
1,pcc,4.099999999999998,optimized,30,35,1.0350866179100986,0.8184902802427665,0.5844066993180438,0.9979531859266193
1,pcc,4.099999999999998,optimized,30,40,1.0350866179100986,0.8184902802427665,0.5832943360217212,0.9990068662080371
1,pcc,4.099999999999998,optimized,30,45,1.0350866179100986,0.8184902802427665,0.5829590629612327,0.9996854245477094
1,pcc,4.099999999999998,optimized,30,50,1.0350866179100986,0.8184902802427665,0.5826300644740571,0.9998103475951122
1,pcc,1.0,baseline,30,5,1.0010493025350402,0.7977279111318162,0.6827854365500176,0.7220473307933669
1,pcc,1.0,baseline,30,10,1.0010493025350402,0.7977279111318162,0.6363429783366157,0.8812031140877177
1,pcc,1.0,baseline,30,15,1.0010493025350402,0.7977279111318162,0.6116583134080483,0.9453150394005408
1,pcc,1.0,baseline,30,20,1.0010493025350402,0.7977279111318162,0.5982590825319059,0.9756007222320974
1,pcc,1.0,baseline,30,25,1.0010493025350402,0.7977279111318162,0.5904875387545526,0.9887953447033941
1,pcc,1.0,baseline,30,30,1.0010493025350402,0.7977279111318162,0.5865333846186601,0.9953373097798687
1,pcc,1.0,baseline,30,35,1.0010493025350402,0.7977279111318162,0.5842855055595223,0.9976540613717317
1,pcc,1.0,baseline,30,40,1.0010493025350402,0.7977279111318162,0.583241313752368,0.998940721184141
1,pcc,1.0,baseline,30,45,1.0010493025350402,0.7977279111318162,0.5829826284142786,0.9997234011541198
1,pcc,1.0,baseline,30,50,1.0010493025350402,0.7977279111318162,0.5826724822895395,0.9998863008079331
1,pcc,4.199999999999999,optimized,40,5,1.0343294982298181,0.8179376932302603,0.6772711205372924,0.7184499412724974
1,pcc,4.199999999999999,optimized,40,10,1.0343294982298181,0.8179376932302603,0.6328435085593092,0.8772597450984804
1,pcc,4.199999999999999,optimized,40,15,1.0343294982298181,0.8179376932302603,0.6105978680209857,0.9445098324000417
1,pcc,4.199999999999999,optimized,40,20,1.0343294982298181,0.8179376932302603,0.5981000157238465,0.9753510963735139
1,pcc,4.199999999999999,optimized,40,25,1.0343294982298181,0.8179376932302603,0.5901481962306927,0.988208398124394
1,pcc,4.199999999999999,optimized,40,30,1.0343294982298181,0.8179376932302603,0.5863566437208164,0.9949954939514011
1,pcc,4.199999999999999,optimized,40,35,1.0343294982298181,0.8179376932302603,0.5844066993180438,0.9979307608264538
1,pcc,4.199999999999999,optimized,40,40,1.0343294982298181,0.8179376932302603,0.5832943360217212,0.9990068662080371
1,pcc,4.199999999999999,optimized,40,45,1.0343294982298181,0.8179376932302603,0.5829590629612327,0.9996854245477094
1,pcc,4.199999999999999,optimized,40,50,1.0343294982298181,0.8179376932302603,0.5826512733817983,0.9998483242015227
1,pcc,1.0,baseline,40,5,0.9994310454708298,0.7968014247591763,0.6821491693177801,0.7197291537762143
1,pcc,1.0,baseline,40,10,0.9994310454708298,0.7968014247591763,0.6368732010301469,0.8812791355475885
1,pcc,1.0,baseline,40,15,0.9994310454708298,0.7968014247591763,0.6114462243306358,0.9450874384927705
1,pcc,1.0,baseline,40,20,0.9994310454708298,0.7968014247591763,0.5981000157238466,0.975507866271729
1,pcc,1.0,baseline,40,25,0.9994310454708298,0.7968014247591763,0.5905299565700353,0.9888138849614718
1,pcc,1.0,baseline,40,30,0.9994310454708298,0.7968014247591763,0.586427340079954,0.9951056942132995
1,pcc,1.0,baseline,40,35,0.9994310454708298,0.7968014247591763,0.5841340133613705,0.9974283137260964
1,pcc,1.0,baseline,40,40,0.9994310454708298,0.7968014247591763,0.5832678248870445,0.9989697033311384
1,pcc,1.0,baseline,40,45,0.9994310454708298,0.7968014247591763,0.5829590629612327,0.9996854245477094
1,pcc,1.0,baseline,40,50,0.9994310454708298,0.7968014247591763,0.5826724822895395,0.9998863008079331
1,pcc,4.349999999999999,optimized,50,5,1.036127331476761,0.8190716139740318,0.678331565924355,0.7192442873449273
1,pcc,4.349999999999999,optimized,50,10,1.036127331476761,0.8190716139740318,0.6330555976367217,0.877012956277903
1,pcc,4.349999999999999,optimized,50,15,1.036127331476761,0.8190716139740318,0.6103857789435732,0.9442448701753835
1,pcc,4.349999999999999,optimized,50,20,1.036127331476761,0.8190716139740318,0.5981000157238465,0.9753336688670996
1,pcc,4.349999999999999,optimized,50,25,1.036127331476761,0.8190716139740318,0.5900633605997277,0.9881135957168162
1,pcc,4.349999999999999,optimized,50,30,1.036127331476761,0.8190716139740318,0.5862859473616788,0.9949285351979931
1,pcc,4.349999999999999,optimized,50,35,1.036127331476761,0.8190716139740318,0.5844066993180438,0.9979307608264538
1,pcc,4.349999999999999,optimized,50,40,1.036127331476761,0.8190716139740318,0.5832943360217212,0.9990068662080371
1,pcc,4.349999999999999,optimized,50,45,1.036127331476761,0.8190716139740318,0.5829590629612327,0.9996854245477094
1,pcc,4.349999999999999,optimized,50,50,1.036127331476761,0.8190716139740318,0.5826300644740571,0.9998103475951122
1,pcc,1.0,baseline,50,5,0.9990051399431679,0.7968492755016974,0.6842700600919053,0.7224780820447926
1,pcc,1.0,baseline,50,10,0.9990051399431679,0.7968492755016974,0.6368732010301469,0.8815366745013656
1,pcc,1.0,baseline,50,15,0.9990051399431679,0.7968492755016974,0.6116583134080482,0.945312259336895
1,pcc,1.0,baseline,50,20,0.9990051399431679,0.7968492755016974,0.5981530379931997,0.9755324256800064
1,pcc,1.0,baseline,50,25,0.9990051399431679,0.7968492755016974,0.5906572100164827,0.9890012934087923
1,pcc,1.0,baseline,50,30,0.9990051399431679,0.7968492755016974,0.5863566437208164,0.9950571589665264
1,pcc,1.0,baseline,50,35,0.9990051399431679,0.7968492755016974,0.5842249086802617,0.9975316605901768
1,pcc,1.0,baseline,50,40,0.9990051399431679,0.7968492755016974,0.5832678248870445,0.9989697033311384
1,pcc,1.0,baseline,50,45,0.9990051399431679,0.7968492755016974,0.5829590629612327,0.9996854245477094
1,pcc,1.0,baseline,50,50,0.9990051399431679,0.7968492755016974,0.5826724822895395,0.9998863008079331
1,pcc,4.449999999999998,optimized,60,5,1.037584678477648,0.8200514210176969,0.6768469423824672,0.7184486301753714
1,pcc,4.449999999999998,optimized,60,10,1.037584678477648,0.8200514210176969,0.6327374640206029,0.8768556172879649
1,pcc,4.449999999999998,optimized,60,15,1.037584678477648,0.8200514210176969,0.6102443862252982,0.9440566395582852
1,pcc,4.449999999999998,optimized,60,20,1.037584678477648,0.8200514210176969,0.5981000157238465,0.9753336688670996
1,pcc,4.449999999999998,optimized,60,25,1.037584678477648,0.8200514210176969,0.5900633605997276,0.9880820621500404
1,pcc,4.449999999999998,optimized,60,30,1.037584678477648,0.8200514210176969,0.5862152510025415,0.994760438745408
1,pcc,4.449999999999998,optimized,60,35,1.037584678477648,0.8200514210176969,0.5844066993180438,0.9979307608264538
1,pcc,4.449999999999998,optimized,60,40,1.037584678477648,0.8200514210176969,0.5832943360217212,0.9990068662080371
1,pcc,4.449999999999998,optimized,60,45,1.037584678477648,0.8200514210176969,0.5829590629612327,0.9996854245477094
1,pcc,4.449999999999998,optimized,60,50,1.037584678477648,0.8200514210176969,0.5826300644740571,0.9998103475951122
1,pcc,1.0,baseline,60,5,0.9994310009872909,0.7975884460089204,0.6842700600919053,0.7221035797051556
1,pcc,1.0,baseline,60,10,0.9994310009872909,0.7975884460089204,0.637297379184972,0.8816039743383289
1,pcc,1.0,baseline,60,15,0.9994310009872909,0.7975884460089204,0.6113755279714983,0.9451124167970456
1,pcc,1.0,baseline,60,20,0.9994310009872909,0.7975884460089204,0.597887926646434,0.9752904472015651
1,pcc,1.0,baseline,60,25,0.9994310009872909,0.7975884460089204,0.5907420456474477,0.989121140753161
1,pcc,1.0,baseline,60,30,0.9994310009872909,0.7975884460089204,0.5862859473616788,0.9950046443070096
1,pcc,1.0,baseline,60,35,0.9994310009872909,0.7975884460089204,0.5841946102406312,0.9974668769674766
1,pcc,1.0,baseline,60,40,0.9994310009872909,0.7975884460089204,0.5832943360217211,0.9990137561945747
1,pcc,1.0,baseline,60,45,0.9994310009872909,0.7975884460089204,0.5829590629612327,0.9996854245477094
1,pcc,1.0,baseline,60,50,0.9994310009872909,0.7975884460089204,0.5826724822895395,0.9998863008079331
1,pcc,4.499999999999998,optimized,70,5,1.037816973914219,0.820185113178367,0.6766348533050547,0.7183440103831793
1,pcc,4.499999999999998,optimized,70,10,1.037816973914219,0.820185113178367,0.6326314194818968,0.8768284856852956
1,pcc,4.499999999999998,optimized,70,15,1.037816973914219,0.820185113178367,0.6101736898661607,0.9440605056139134
1,pcc,4.499999999999998,optimized,70,20,1.037816973914219,0.820185113178367,0.5981530379931997,0.9754048622979715
1,pcc,4.499999999999998,optimized,70,25,1.037816973914219,0.820185113178367,0.5899785249687626,0.9879658115381951
1,pcc,4.499999999999998,optimized,70,30,1.037816973914219,0.820185113178367,0.5861799028229727,0.9946817729178435
1,pcc,4.499999999999998,optimized,70,35,1.037816973914219,0.820185113178367,0.5844066993180438,0.9979307608264538
1,pcc,4.499999999999998,optimized,70,40,1.037816973914219,0.820185113178367,0.5832943360217212,0.9990068662080371
1,pcc,4.499999999999998,optimized,70,45,1.037816973914219,0.820185113178367,0.5829590629612327,0.9996854245477094
1,pcc,4.499999999999998,optimized,70,50,1.037816973914219,0.820185113178367,0.5826300644740571,0.9998103475951122
1,pcc,1.0,baseline,70,5,0.9995237528100925,0.7978514661400534,0.6832096147048426,0.7216107912958937
1,pcc,1.0,baseline,70,10,0.9995237528100925,0.7978514661400534,0.6375094682623845,0.8817259897656595
1,pcc,1.0,baseline,70,15,0.9995237528100925,0.7978514661400534,0.6113755279714983,0.9450745738830029
1,pcc,1.0,baseline,70,20,0.9995237528100925,0.7978514661400534,0.5978879266464341,0.9751416504342836
1,pcc,1.0,baseline,70,25,0.9995237528100925,0.7978514661400534,0.5906996278319653,0.9890332034695364
1,pcc,1.0,baseline,70,30,0.9995237528100925,0.7978514661400534,0.5862859473616788,0.9949893481738721
1,pcc,1.0,baseline,70,35,0.9995237528100925,0.7978514661400534,0.5842249086802617,0.9975455427950413
1,pcc,1.0,baseline,70,40,0.9995237528100925,0.7978514661400534,0.5832943360217211,0.9990137561945747
1,pcc,1.0,baseline,70,45,0.9995237528100925,0.7978514661400534,0.5829590629612327,0.9996854245477094
1,pcc,1.0,baseline,70,50,0.9995237528100925,0.7978514661400534,0.5826724822895395,0.9998863008079331
1,pcc,4.549999999999998,optimized,80,5,1.0386677707814578,0.8207568634598675,0.6766348533050548,0.7181198525048362
1,pcc,4.549999999999998,optimized,80,10,1.0386677707814578,0.8207568634598675,0.6322072413270716,0.8765855629203464
1,pcc,4.549999999999998,optimized,80,15,1.0386677707814578,0.8207568634598675,0.6101029935070231,0.9439583072738297
1,pcc,4.549999999999998,optimized,80,20,1.0386677707814578,0.8207568634598675,0.5979939711851402,0.9751353080636598
1,pcc,4.549999999999998,optimized,80,25,1.0386677707814578,0.8207568634598675,0.5899361071532802,0.9878774281672256
