fold,method,alpha,type,K,TopN,validation_mse,validation_rmse,validation_precision,validation_recall,regularization_penalty,regularized_score,test_RMSE,test_MAD,test_Precision,test_Recall,RMSE,MAD,Precision,Recall
8,pcc,2.3499999999999988,optimized,10,5,0.6832039616800845,0.8265615292766078,0.8054612937433722,0.6321280947951065,0.0026999999999999975,0.6859039616800845,1.0514572698119202,0.8295341220499981,0.6660834217037821,0.7247031913157396,1.0514572698119202,0.8295341220499981,0.6660834217037821,0.7247031913157396
8,pcc,2.3499999999999988,optimized,10,10,0.6832039616800845,0.8265615292766078,0.7165185409618072,0.804312203885467,0.0026999999999999975,0.6859039616800845,1.0514572698119202,0.8295341220499981,0.6282238381390025,0.8858104101762365,1.0514572698119202,0.8295341220499981,0.6282238381390025,0.8858104101762365
8,pcc,2.3499999999999988,optimized,10,15,0.6832039616800845,0.8265615292766078,0.6719594238682257,0.8818152622965285,0.0026999999999999975,0.6859039616800845,1.0514572698119202,0.8295341220499981,0.606276979765845,0.9472613343551721,1.0514572698119202,0.8295341220499981,0.606276979765845,0.9472613343551721
8,pcc,2.3499999999999988,optimized,10,20,0.6832039616800845,0.8265615292766078,0.641127443906886,0.9264920361015472,0.0026999999999999975,0.6859039616800845,1.0514572698119202,0.8295341220499981,0.5958155054512768,0.976466886789579,1.0514572698119202,0.8295341220499981,0.5958155054512768,0.976466886789579
8,pcc,2.3499999999999988,optimized,10,25,0.6832039616800845,0.8265615292766078,0.6204008232547271,0.9536123414935144,0.0026999999999999975,0.6859039616800845,1.0514572698119202,0.8295341220499981,0.5888461887090337,0.9892479592098455,1.0514572698119202,0.8295341220499981,0.5888461887090337,0.9892479592098455
8,pcc,2.3499999999999988,optimized,10,30,0.6832039616800845,0.8265615292766078,0.6062712539823634,0.9708405593454976,0.0026999999999999975,0.6859039616800845,1.0514572698119202,0.8295341220499981,0.5851424509236783,0.9953631200261357,1.0514572698119202,0.8295341220499981,0.5851424509236783,0.9953631200261357
8,pcc,2.3499999999999988,optimized,10,35,0.6832039616800845,0.8265615292766078,0.5965410978596836,0.9814541812808584,0.0026999999999999975,0.6859039616800845,1.0514572698119202,0.8295341220499981,0.5834490472690795,0.9981291992702629,1.0514572698119202,0.8295341220499981,0.5834490472690795,0.9981291992702629
8,pcc,2.3499999999999988,optimized,10,40,0.6832039616800845,0.8265615292766078,0.5895410159112284,0.9880761458095078,0.0026999999999999975,0.6859039616800845,1.0514572698119202,0.8295341220499981,0.5823479686689776,0.9991333144583964,1.0514572698119202,0.8295341220499981,0.5823479686689776,0.9991333144583964
8,pcc,2.3499999999999988,optimized,10,45,0.6832039616800845,0.8265615292766078,0.5846269022064707,0.992340739273099,0.0026999999999999975,0.6859039616800845,1.0514572698119202,0.8295341220499981,0.5818292480017344,0.9995030735013396,1.0514572698119202,0.8295341220499981,0.5818292480017344,0.9995030735013396
8,pcc,2.3499999999999988,optimized,10,50,0.6832039616800845,0.8265615292766078,0.5813103085964233,0.9951784198001488,0.0026999999999999975,0.6859039616800845,1.0514572698119202,0.8295341220499981,0.5815709477922905,0.9997303900106829,1.0514572698119202,0.8295341220499981,0.5815709477922905,0.9997303900106829
8,pcc,1.0,baseline,10,5,,,,,0.0,,1.0411426213611314,0.8232583742667211,0.668840579710145,0.7271328436651651,1.0411426213611314,0.8232583742667211,0.668840579710145,0.7271328436651651
8,pcc,1.0,baseline,10,10,,,,,0.0,,1.0411426213611314,0.8232583742667211,0.6293903280647714,0.8866533734429634,1.0411426213611314,0.8232583742667211,0.6293903280647714,0.8866533734429634
8,pcc,1.0,baseline,10,15,,,,,0.0,,1.0411426213611314,0.8232583742667211,0.6064890688432576,0.9473223739177449,1.0411426213611314,0.8232583742667211,0.6064890688432576,0.9473223739177449
8,pcc,1.0,baseline,10,20,,,,,0.0,,1.0411426213611314,0.8232583742667211,0.5961336390673958,0.976897305333627,1.0411426213611314,0.8232583742667211,0.5961336390673958,0.976897305333627
