method,RMSE_mean,RMSE_std,n_folds,MAD_mean,MAD_std,RMSE_ci95_lower,RMSE_ci95_upper,RMSE_cv,MAD_ci95_lower,MAD_ci95_upper,MAD_cv,Precision_mean,Precision_std,Recall_mean,Recall_std
ipwr,0.9714214882378833,0.006450362726046096,300,0.7741881546978386,0.006117029447346956,0.9706915609812576,0.972151415494509,0.6640127693434882,0.7734959476526175,0.7748803617430597,0.7901218082746821,0.5905867946035598,0.004533516000959303,0.9732608721785758,0.001007876889649888
msd,0.9823960509145394,0.008050201861677174,300,0.7772659700765504,0.008438376768139433,0.9814850848170129,0.9833070170120659,0.8194456659493918,0.7763110778532231,0.7782208622998777,1.0856485544206143,0.5915235213621318,0.004278761046938184,0.9748629495603879,0.0005963470973097582
cpcc,1.0010644435856069,0.007313231671474147,300,0.78083899716324,0.005771439975531605,1.0002368735158693,1.0018920136553444,0.7305455426305679,0.780185897248237,0.7814920970782431,0.7391331627261238,0.5910286468481692,0.004318405388092558,0.9742173815846006,0.0006359793680728713
jmsd,1.0063987869049764,0.004920638499974132,300,0.8010429193792603,0.004283375027839909,1.0058419642403176,1.0069556095696353,0.4889352574745041,0.8005582098650891,0.8015276288934315,0.534724784929022,0.5905691205137754,0.004711602795199865,0.9734801621862871,0.0015297810127708298
cosine,1.0100141542650363,0.005726314933639012,300,0.804175017583643,0.004949777236117896,1.0093661607292297,1.0106621478008428,0.5669539292551715,0.8036148975605815,0.8047351376067045,0.6155099484426678,0.590975624578816,0.0045793377629220365,0.9740522723479899,0.0014905876130531202
jaccard,1.0142972655091884,0.006633720858676932,300,0.8084565586135078,0.00538132521355357,1.0135465893265851,1.0150479416917917,0.6540213687105555,0.807847604339622,0.8090655128873937,0.665629483269017,0.5908165577707568,0.004569558608353465,0.9740748421125113,0.0012973520527354708
acos,1.014473195332383,0.010984458657433725,300,0.8101756051632134,0.009841672641759192,1.0132301868204796,1.0157162038442862,1.0827746566369125,0.8090619150628102,0.8112892952636166,1.2147579585263548,0.5911170172970911,0.004123208449788991,0.9741077189008972,0.000758602383523153
spcc,1.020648136132772,0.006917052645486932,300,0.8070549997405431,0.006533970669086224,1.0198653979402252,1.0214308743253186,0.6777117794674659,0.8063156113545069,0.8077943881265792,0.8096066155574037,0.5909579504890318,0.00450891318048941,0.97407898266412,0.0007049574780056644
src,1.0235666820490281,0.008629634406921488,300,0.8115416814598148,0.00695863026304406,1.0225901469864507,1.0245432171116056,0.843094500657861,0.8107542383169251,0.8123291246027045,0.8574581468849214,0.5915588695417006,0.004581084554165611,0.974869536680871,0.0007927635091039668
pcc,1.0246120186050376,0.007865071549710808,300,0.8101163623285957,0.006941212850850726,1.023722001974459,1.0255020352356161,0.7676146099104657,0.8093308901514392,0.8109018345057523,0.8568167702351952,0.590975624578816,0.00458334771243724,0.9741005554021628,0.0008692358890519488
kendall_tau_b,1.0255354986555771,0.007852583004263036,300,0.8124957766170557,0.0066489875393987525,1.0246468952369534,1.0264241020742009,0.7657056254568816,0.8117433728468966,0.8132481803872149,0.818341181671464,0.5913291063745036,0.004822340168432916,0.9746305065217978,0.0010831097501259107
ari,1.0293296230394677,0.009334653453013842,300,0.815624130297116,0.008211971392855136,1.0282733075614254,1.03038593851751,0.9068672701218783,0.8146948582538445,0.8165534023403875,1.0068328152409707,0.5905160982444223,0.004786396529521688,0.9735345130688224,0.0015251098551854294
itr,1.0296463288469069,0.024999789528755777,300,0.8122378632809987,0.017998073361630562,1.026817336344941,1.0324753213488727,2.4279977336249865,0.8102011895509532,0.8142745370110441,2.215862393920932,0.5905867946035598,0.003935391812719356,0.9738942105413407,0.0007342492039948908
ami,1.032496156071956,0.009188781161581783,300,0.8192206330101972,0.008098591131732492,1.031456347597632,1.0335359645462803,0.8899579051741675,0.8183041911512846,0.8201370748691098,0.9885726512984061,0.5904984241546379,0.004759522065536364,0.9736012393157605,0.0014480134472290359
manhattan,1.0626502915651113,0.008781668384461677,300,0.8384589583709876,0.007252504325925423,1.0616565522383934,1.0636440308918291,0.8263930715652189,0.8376382602473127,0.8392796564946625,0.8649802418494112,0.5878119625074127,0.004212910837020933,0.9697146670120654,0.0006511984421394615
chebyshev,1.065752748707111,0.008229556475358066,300,0.8339491891230348,0.004224722273378376,1.0648214867244246,1.0666840106897975,0.7721825240743249,0.8334711167928447,0.834427261453225,0.5065922874535094,0.589137519241241,0.004161384094010192,0.971496627610949,0.0004092347291590598
euclidean,1.075869362507896,0.013132012215843904,300,0.8440799380855835,0.008997541721816861,1.0743833354334835,1.0773553895823087,1.2205954248230138,0.8430617703910969,0.84509810578007,1.0659584851908395,0.5878296365971972,0.004551798285528146,0.96980308348401,0.0011864076026303547
