fold,method,K,TopN,type,alpha,recall_ow,precision_ow
1,acos,10,5,baseline,1.0,0.0116639910086161,0.0145374449339207
1,acos,10,10,baseline,1.0,0.0197271226646528,0.0129955947136563
1,acos,10,15,baseline,1.0,0.0274273050315639,0.0121145374449339
1,acos,10,20,baseline,1.0,0.0348519590418023,0.0117841409691629
1,acos,10,25,baseline,1.0,0.0443473712024809,0.0116740088105726
1,acos,10,30,baseline,1.0,0.0552725090776655,0.0119676945668135
1,acos,10,35,baseline,1.0,0.0691881462187907,0.0120516047828823
1,acos,10,40,baseline,1.0,0.0815122430340792,0.0120044052863436
1,acos,10,45,baseline,1.0,0.0930866417876286,0.0121145374449339
1,acos,10,50,baseline,1.0,0.1036116571907655,0.0120484581497797
1,acos,20,5,baseline,1.0,0.0088204034830342,0.0121145374449339
1,acos,20,10,baseline,1.0,0.015126709560441,0.0118942731277533
1,acos,20,15,baseline,1.0,0.0228940100588538,0.0122613803230543
1,acos,20,20,baseline,1.0,0.0301809328162015,0.0122797356828193
1,acos,20,25,baseline,1.0,0.0407397920410188,0.0126872246696035
1,acos,20,30,baseline,1.0,0.0485501701811371,0.0125917767988252
1,acos,20,35,baseline,1.0,0.0576575245555534,0.0126494650723725
1,acos,20,40,baseline,1.0,0.0654593875782187,0.0126101321585903
1,acos,20,45,baseline,1.0,0.0783379391045878,0.0126040137053352
1,acos,20,50,baseline,1.0,0.0852655200328558,0.012533039647577
1,acos,30,5,baseline,1.0,0.0080097461803845,0.0123348017621145
1,acos,30,10,baseline,1.0,0.0149147496986941,0.0115638766519823
1,acos,30,15,baseline,1.0,0.0210764456083817,0.0111600587371512
1,acos,30,20,baseline,1.0,0.0265689027248583,0.0111233480176211
1,acos,30,25,baseline,1.0,0.0325052234614152,0.0109691629955947
1,acos,30,30,baseline,1.0,0.0417980147028041,0.0117841409691629
1,acos,30,35,baseline,1.0,0.049935858707732,0.01176840780365
1,acos,30,40,baseline,1.0,0.0568735657480241,0.0118667400881057
1,acos,30,45,baseline,1.0,0.0655539641804632,0.0119921683798335
1,acos,30,50,baseline,1.0,0.0774779050961749,0.01215859030837
1,acos,40,5,baseline,1.0,0.0038817376903498,0.0077092511013215
1,acos,40,10,baseline,1.0,0.0097741654672116,0.0090308370044052
1,acos,40,15,baseline,1.0,0.0145719459037752,0.0090308370044052
1,acos,40,20,baseline,1.0,0.0214884227665499,0.0092511013215859
1,acos,40,25,baseline,1.0,0.0290884920331576,0.0100440528634361
1,acos,40,30,baseline,1.0,0.0360207878917628,0.0105359765051395
1,acos,40,35,baseline,1.0,0.0429531387892144,0.0107929515418502
1,acos,40,40,baseline,1.0,0.05250194374783,0.0115363436123348
1,acos,40,45,baseline,1.0,0.0600583294436812,0.0118697993147332
1,acos,40,50,baseline,1.0,0.0681275471551888,0.0117400881057268
1,acos,50,5,baseline,1.0,0.0043846807075622,0.0083700440528634
1,acos,50,10,baseline,1.0,0.0081292053993599,0.0078193832599118
1,acos,50,15,baseline,1.0,0.0135915506326179,0.0091042584434654
1,acos,50,20,baseline,1.0,0.0177571007877517,0.0092511013215859
1,acos,50,25,baseline,1.0,0.0258407890134673,0.0098678414096916
1,acos,50,30,baseline,1.0,0.0310621247102816,0.0098017621145374
1,acos,50,35,baseline,1.0,0.0353559903206747,0.0096601636249213
1,acos,50,40,baseline,1.0,0.0408344601632623,0.0101321585903083
1,acos,50,45,baseline,1.0,0.0479597198563881,0.0102055800293685
1,acos,50,50,baseline,1.0,0.0560529994090466,0.0105066079295154
1,acos,60,5,baseline,1.0,0.0039917606049185,0.0081497797356828
1,acos,60,10,baseline,1.0,0.0086770952285126,0.0084801762114537
1,acos,60,15,baseline,1.0,0.0110840700373945,0.0079295154185022
1,acos,60,20,baseline,1.0,0.0161881812981447,0.0082599118942731
1,acos,60,25,baseline,1.0,0.0190860782322637,0.0076651982378854
1,acos,60,30,baseline,1.0,0.024186581193676,0.0078560939794419
1,acos,60,35,baseline,1.0,0.0298056237024621,0.0081497797356828
1,acos,60,40,baseline,1.0,0.0352992861712961,0.0084526431718061
1,acos,60,45,baseline,1.0,0.0433596096930437,0.008932941752325
1,acos,60,50,baseline,1.0,0.0525148632231658,0.0093832599118942
1,acos,70,5,baseline,1.0,0.0034807517668839,0.0061674008810572
1,acos,70,10,baseline,1.0,0.0076394165043903,0.0070484581497797
1,acos,70,15,baseline,1.0,0.0103250502965507,0.0065345080763582
1,acos,70,20,baseline,1.0,0.0130598993445957,0.0063876651982378
1,acos,70,25,baseline,1.0,0.0161284011025077,0.0064757709251101
1,acos,70,30,baseline,1.0,0.0188861016669225,0.006461086637298
1,acos,70,35,baseline,1.0,0.0240639582423461,0.0067337948395217
1,acos,70,40,baseline,1.0,0.0309315363967316,0.00715859030837
1,acos,70,45,baseline,1.0,0.036810449541071,0.0074400391581008
1,acos,70,50,baseline,1.0,0.0432959258413428,0.0078193832599118
1,acos,80,5,baseline,1.0,0.0038732574252793,0.0066079295154185
1,acos,80,10,baseline,1.0,0.0063595385637372,0.005726872246696
1,acos,80,15,baseline,1.0,0.0086011045897835,0.0055800293685756
1,acos,80,20,baseline,1.0,0.0108772912887704,0.0055616740088105
1,acos,80,25,baseline,1.0,0.0126843193072522,0.0053303964757709
1,acos,80,30,baseline,1.0,0.0152775352826996,0.0054698972099853
1,acos,80,35,baseline,1.0,0.019202466208999,0.0058212712397734
1,acos,80,40,baseline,1.0,0.0242895020702044,0.0061123348017621
1,acos,80,45,baseline,1.0,0.0289236943777664,0.0064121390112579
1,acos,80,50,baseline,1.0,0.0363342091982596,0.0070044052863436
1,acos,90,5,baseline,1.0,0.001862856825458,0.0039647577092511
1,acos,90,10,baseline,1.0,0.0043327039229528,0.0044052863436123
1,acos,90,15,baseline,1.0,0.0062943387114461,0.0045521292217327
1,acos,90,20,baseline,1.0,0.0087744963932343,0.0049559471365638
1,acos,90,25,baseline,1.0,0.0120100170150597,0.005374449339207
1,acos,90,30,baseline,1.0,0.0147337249115693,0.0054698972099853
1,acos,90,35,baseline,1.0,0.0202136032244408,0.005726872246696
1,acos,90,40,baseline,1.0,0.0233617535910178,0.0058094713656387
1,acos,90,45,baseline,1.0,0.0276018406609899,0.006093979441997
1,acos,90,50,baseline,1.0,0.0333058103715081,0.0064757709251101
1,acos,100,5,baseline,1.0,0.0013398733978871,0.0026431718061674
1,acos,100,10,baseline,1.0,0.0026712792954185,0.0031938325991189
1,acos,100,15,baseline,1.0,0.004745231180833,0.0038179148311306
1,acos,100,20,baseline,1.0,0.0075790439719223,0.0043502202643171
1,acos,100,25,baseline,1.0,0.0098013250467149,0.0044493392070484
1,acos,100,30,baseline,1.0,0.0126102499481338,0.0047723935389133
1,acos,100,35,baseline,1.0,0.0164996098411454,0.0047199496538703
1,acos,100,40,baseline,1.0,0.0199487431007919,0.0048182819383259
1,acos,100,45,baseline,1.0,0.0245363525836192,0.0052129221732745
1,acos,100,50,baseline,1.0,0.0309911469049406,0.005726872246696
1,acos,10,5,optimized,0.2,0.0101372281367918,0.0125550660792951
1,acos,10,10,optimized,0.2,0.0183941739198098,0.0125550660792951
1,acos,10,15,optimized,0.2,0.0260499510288535,0.0118942731277533
1,acos,10,20,optimized,0.2,0.0350126188665591,0.0118942731277533
1,acos,10,25,optimized,0.2,0.0446085113169714,0.011806167400881
1,acos,10,30,optimized,0.2,0.0557203159819702,0.0120411160058737
1,acos,10,35,optimized,0.2,0.0693673631105627,0.0120830711139081
1,acos,10,40,optimized,0.2,0.0824213732059718,0.0121420704845814
1,acos,10,45,optimized,0.2,0.0933961635405294,0.0121390112579539
1,acos,10,50,optimized,0.2,0.1031710933773276,0.0120044052863436
1,acos,20,5,optimized,0.4,0.0084662941826709,0.0118942731277533
1,acos,20,10,optimized,0.4,0.0161501929878634,0.012885462555066
1,acos,20,15,optimized,0.4,0.0244470872510107,0.0124816446402349
1,acos,20,20,optimized,0.4,0.0312395897615458,0.012169603524229
1,acos,20,25,optimized,0.4,0.0414628133165399,0.0129955947136563
1,acos,20,30,optimized,0.4,0.0489402279415231,0.0129588839941262
1,acos,20,35,optimized,0.4,0.0574183389670796,0.0128697293895531
1,acos,20,40,optimized,0.4,0.0655013878503053,0.0126376651982378
1,acos,20,45,optimized,0.4,0.0780587110121309,0.0126040137053352
1,acos,20,50,optimized,0.4,0.084493225644817,0.0125991189427312
1,acos,30,5,optimized,0.45,0.0086015662848613,0.0134361233480176
1,acos,30,10,optimized,0.45,0.0144365331895592,0.0109030837004405
1,acos,30,15,optimized,0.45,0.0201822006574822,0.0110132158590308
1,acos,30,20,optimized,0.45,0.0267977227912335,0.011453744493392
1,acos,30,25,optimized,0.45,0.0322783949395297,0.0111453744493392
1,acos,30,30,optimized,0.45,0.0403797800188493,0.0116372980910425
1,acos,30,35,optimized,0.45,0.0465053349918673,0.0112334801762114
1,acos,30,40,optimized,0.45,0.0530727399103245,0.0113436123348017
1,acos,30,45,optimized,0.45,0.0634832071323805,0.0117229564366128
1,acos,30,50,optimized,0.45,0.0770697860708623,0.0120704845814977
1,acos,40,5,optimized,0.5,0.0069918871951202,0.0121145374449339
1,acos,40,10,optimized,0.5,0.0126743990140902,0.0111233480176211
1,acos,40,15,optimized,0.5,0.017721708121738,0.0108663729809104
1,acos,40,20,optimized,0.5,0.024032679394146,0.0104625550660792
1,acos,40,25,optimized,0.5,0.0302623884789428,0.0103524229074889
1,acos,40,30,optimized,0.5,0.0391548047175469,0.0109397944199706
1,acos,40,35,optimized,0.5,0.0463172331776509,0.0112649465072372
1,acos,40,40,optimized,0.5,0.0550524853871325,0.0118942731277533
1,acos,40,45,optimized,0.5,0.0609458061473548,0.0119432207537934
1,acos,40,50,optimized,0.5,0.0688639538475631,0.0118281938325991
1,acos,50,5,optimized,0.55,0.0060760743321733,0.0123348017621145
1,acos,50,10,optimized,0.55,0.0114866468351353,0.0112334801762114
1,acos,50,15,optimized,0.55,0.01749226159352,0.0109397944199706
1,acos,50,20,optimized,0.55,0.0216112915092723,0.0107929515418502
1,acos,50,25,optimized,0.55,0.0281654909823234,0.0106167400881057
1,acos,50,30,optimized,0.55,0.0318514623773593,0.0102422907488986
1,acos,50,35,optimized,0.55,0.0364412050957979,0.0102894902454373
1,acos,50,40,optimized,0.55,0.0442632964081122,0.0104074889867841
