fold,method,alpha,type,K,TopN,validation_mse,validation_rmse,validation_precision,validation_recall,regularization_penalty,regularized_score,test_RMSE,test_MAD,test_Precision,test_Recall,RMSE,MAD,Precision,Recall
6,ami,0.05,optimized,10,5,1.1281936924948808,1.0621646258913355,0.6832979851537645,0.553253018102305,0.0019,1.1300936924948808,1.0583473601634272,0.8380935736896155,0.6374513962530929,0.7145731996444731,1.0583473601634272,0.8380935736896155,0.6374513962530929,0.7145731996444731
6,ami,1.0,baseline,10,5,,,,,0.0,,1.0744429981540773,0.8501629813707468,0.6325733474726052,0.7099789344032738,1.0744429981540773,0.8501629813707468,0.6325733474726052,0.7099789344032738
6,ami,0.05,optimized,10,10,1.1281936924948808,1.0621646258913355,0.6490902051877662,0.7479066383694039,0.0019,1.1300936924948808,1.0583473601634272,0.8380935736896155,0.6039278560487468,0.8720116516870465,1.0583473601634272,0.8380935736896155,0.6039278560487468,0.8720116516870465
6,ami,1.0,baseline,10,10,,,,,0.0,,1.0744429981540773,0.8501629813707468,0.6011706980423842,0.86979143461868,1.0744429981540773,0.8501629813707468,0.6011706980423842,0.86979143461868
6,ami,0.05,optimized,10,15,1.1281936924948808,1.0621646258913355,0.6292723242352086,0.8398662179086714,0.0019,1.1300936924948808,1.0583473601634272,0.8380935736896155,0.5847227945849367,0.9402082223035002,1.0583473601634272,0.8380935736896155,0.5847227945849367,0.9402082223035002
6,ami,1.0,baseline,10,15,,,,,0.0,,1.0744429981540773,0.8501629813707468,0.5841572237118366,0.9400680157525104,1.0744429981540773,0.8501629813707468,0.5841572237118366,0.9400680157525104
6,ami,0.05,optimized,10,20,1.1281936924948808,1.0621646258913355,0.6141817249175855,0.895965620353276,0.0019,1.1300936924948808,1.0583473601634272,0.8380935736896155,0.5747473167005307,0.9717527993870644,1.0583473601634272,0.8380935736896155,0.5747473167005307,0.9717527993870644
6,ami,1.0,baseline,10,20,,,,,0.0,,1.0744429981540773,0.8501629813707468,0.5742170940069994,0.9715982705026786,1.0744429981540773,0.8501629813707468,0.5742170940069994,0.9715982705026786
6,ami,0.05,optimized,10,25,1.1281936924948808,1.0621646258913355,0.6054096180842492,0.9341774666362478,0.0019,1.1300936924948808,1.0583473601634272,0.8380935736896155,0.5693492824265686,0.9875809636772596,1.0583473601634272,0.8380935736896155,0.5693492824265686,0.9875809636772596
6,ami,1.0,baseline,10,25,,,,,0.0,,1.0744429981540773,0.8501629813707468,0.5685857617478836,0.9863074334601316,1.0744429981540773,0.8501629813707468,0.5685857617478836,0.9863074334601316
6,ami,0.05,optimized,10,30,1.1281936924948808,1.0621646258913355,0.597760910498437,0.9567435169465356,0.0019,1.1300936924948808,1.0583473601634272,0.8380935736896155,0.5660083920450522,0.9943052069638944,1.0583473601634272,0.8380935736896155,0.5660083920450522,0.9943052069638944
6,ami,1.0,baseline,10,30,,,,,0.0,,1.0744429981540773,0.8501629813707468,0.5657256066085021,0.9937414756561987,1.0744429981540773,0.8501629813707468,0.5657256066085021,0.9937414756561987
6,ami,0.05,optimized,10,35,1.1281936924948808,1.0621646258913355,0.591857804907504,0.971353698344081,0.0019,1.1300936924948808,1.0583473601634272,0.8380935736896155,0.5642306705494731,0.9971900114085266,1.0583473601634272,0.8380935736896155,0.5642306705494731,0.9971900114085266
6,ami,1.0,baseline,10,35,,,,,0.0,,1.0744429981540773,0.8501629813707468,0.5641397752305819,0.9969558896339464,1.0744429981540773,0.8501629813707468,0.5641397752305819,0.9969558896339464
6,ami,0.05,optimized,10,40,1.1281936924948808,1.0621646258913355,0.5875418142656774,0.9812215489123862,0.0019,1.1300936924948808,1.0583473601634272,0.8380935736896155,0.5632596636413674,0.9984258359428428,1.0583473601634272,0.8380935736896155,0.5632596636413674,0.9984258359428428
6,ami,1.0,baseline,10,40,,,,,0.0,,1.0744429981540773,0.8501629813707468,0.5632331525066907,0.9983943418637296,1.0744429981540773,0.8501629813707468,0.5632331525066907,0.9983943418637296
6,ami,0.05,optimized,10,45,1.1281936924948808,1.0621646258913355,0.5845064283608304,0.987629759901566,0.0019,1.1300936924948808,1.0583473601634272,0.8380935736896155,0.562894932831508,0.9990218838858296,1.0583473601634272,0.8380935736896155,0.562894932831508,0.9990218838858296
6,ami,1.0,baseline,10,45,,,,,0.0,,1.0744429981540773,0.8501629813707468,0.5628006710193247,0.9987749703055826,1.0744429981540773,0.8501629813707468,0.5628006710193247,0.9987749703055826
6,ami,0.05,optimized,10,50,1.1281936924948808,1.0621646258913355,0.5821220546036693,0.9919960529553032,0.0019,1.1300936924948808,1.0583473601634272,0.8380935736896155,0.5626102601377951,0.9991883525897132,1.0583473601634272,0.8380935736896155,0.5626102601377951,0.9991883525897132
6,ami,1.0,baseline,10,50,,,,,0.0,,1.0744429981540773,0.8501629813707468,0.5625678423223126,0.9990974696757008,1.0744429981540773,0.8501629813707468,0.5625678423223126,0.9990974696757008
