fold,method,alpha,type,K,TopN,validation_mse,validation_rmse,validation_precision,validation_recall,regularization_penalty,regularized_score,test_RMSE,test_MAD,test_Precision,test_Recall,RMSE,MAD,Precision,Recall
5,ami,0.05,optimized,10,5,1.138200334523002,1.0668647217538885,0.6814952279957582,0.5504496648466091,0.0019,1.140100334523002,1.050246726342719,0.8337690293879488,0.6441145281018027,0.7085407609711464,1.050246726342719,0.8337690293879488,0.6441145281018027,0.7085407609711464
5,ami,1.0,baseline,10,5,,,,,0.0,,1.0705535454411088,0.847931417479179,0.6398727465535524,0.7057837588727783,1.0705535454411088,0.847931417479179,0.6398727465535524,0.7057837588727783
5,ami,0.05,optimized,10,10,1.138200334523002,1.0668647217538885,0.6433137235099058,0.7457120638187577,0.0019,1.140100334523002,1.050246726342719,0.8337690293879488,0.6150755777744112,0.870830861878073,1.050246726342719,0.8337690293879488,0.6150755777744112,0.870830861878073
5,ami,1.0,baseline,10,10,,,,,0.0,,1.0705535454411088,0.847931417479179,0.6126365533841673,0.8681898539786469,1.0705535454411088,0.847931417479179,0.6126365533841673,0.8681898539786469
5,ami,0.05,optimized,10,15,1.138200334523002,1.0668647217538885,0.6247361716873912,0.8368522019716748,0.0019,1.140100334523002,1.050246726342719,0.8337690293879488,0.5973353469907021,0.939914728963486,1.050246726342719,0.8337690293879488,0.5973353469907021,0.939914728963486
5,ami,1.0,baseline,10,15,,,,,0.0,,1.0705535454411088,0.847931417479179,0.5964869906810523,0.938382204330604,1.0705535454411088,0.847931417479179,0.5964869906810523,0.938382204330604
5,ami,0.05,optimized,10,20,1.138200334523002,1.0668647217538885,0.6110735667782623,0.8944188654255699,0.0019,1.140100334523002,1.050246726342719,0.8337690293879488,0.5885281100254803,0.9725941674622764,1.050246726342719,0.8337690293879488,0.5885281100254803,0.9725941674622764
5,ami,1.0,baseline,10,20,,,,,0.0,,1.0705535454411088,0.847931417479179,0.5873085978303584,0.9707731024114924,1.0705535454411088,0.847931417479179,0.5873085978303584,0.9707731024114924
5,ami,0.05,optimized,10,25,1.138200334523002,1.0668647217538885,0.6014838082496409,0.9316596008078514,0.0019,1.140100334523002,1.050246726342719,0.8337690293879488,0.5823619663961064,0.9873239921400672,1.050246726342719,0.8337690293879488,0.5823619663961064,0.9873239921400672
5,ami,1.0,baseline,10,25,,,,,0.0,,1.0705535454411088,0.847931417479179,0.5817681169793514,0.9861843937693228,1.0705535454411088,0.847931417479179,0.5817681169793514,0.9861843937693228
5,ami,0.05,optimized,10,30,1.138200334523002,1.0668647217538885,0.5940466435418431,0.9545429161611084,0.0019,1.140100334523002,1.050246726342719,0.8337690293879488,0.5792807976978681,0.994548562941634,1.050246726342719,0.8337690293879488,0.5792807976978681,0.994548562941634
5,ami,1.0,baseline,10,30,,,,,0.0,,1.0705535454411088,0.847931417479179,0.5789980122613182,0.9941073767934,1.0705535454411088,0.847931417479179,0.5789980122613182,0.9941073767934
