lambda,baseline_rmse,baseline_mad,optimized_rmse,optimized_mad,optimized_alpha,rmse_improvement_pct,records
0.001,,,1.026237917946685,0.8114388298952107,3.712904411764706,,13600
0.002,1.0065344935511444,0.8000817545401302,1.0251936644437902,0.8108069429169454,3.535735294117647,-1.853803422753507,17000
0.003,,,1.0247196807785186,0.810598862622907,3.340588235294118,,10200
0.004,,,1.0236395588594422,0.8099476338231986,3.1484803921568627,,10200
0.005,,,1.022724117450671,0.8093870939966326,2.9658823529411764,,10200
0.01,,,1.0195477670616784,0.8075111097542038,2.264950980392157,,10200
0.015,,,1.016733502864326,0.8057707037273044,2.025049019607843,,10200
0.02,,,1.014514844558658,0.8044279302261217,1.8459313725490196,,10200
0.025,,,1.012672428894505,0.8033210769305144,1.6975980392156862,,10200
0.03,,,1.0112984669930258,0.8025273352003629,1.567843137254902,,10200
