fold,method,K,alpha_std,alpha_range,n_unique_alphas
1,acos,10,0.0,0.0,1
1,acos,20,0.0,0.0,1
1,acos,30,0.0,0.0,1
1,acos,40,2.7755575615628914e-17,0.0,1
1,acos,50,2.7755575615628914e-17,0.0,1
1,acos,60,0.0,0.0,1
1,acos,70,0.0,0.0,1
1,acos,80,0.0,0.0,1
1,acos,90,0.0,0.0,1
1,acos,100,0.0,0.0,1
1,ami,10,0.0,0.0,1
1,ami,20,0.0,0.0,1
1,ami,30,0.0,0.0,1
1,ami,40,0.0,0.0,1
1,ami,50,0.0,0.0,1
1,ami,60,1.1102230246251565e-16,0.0,1
1,ami,70,0.0,0.0,1
1,ami,80,0.0,0.0,1
1,ami,90,0.0,0.0,1
1,ami,100,0.0,0.0,1
1,ari,10,0.0,0.0,1
1,ari,20,0.0,0.0,1
1,ari,30,0.0,0.0,1
1,ari,40,0.0,0.0,1
1,ari,50,0.0,0.0,1
1,ari,60,0.0,0.0,1
1,ari,70,0.0,0.0,1
1,ari,80,0.0,0.0,1
1,ari,90,1.1102230246251565e-16,0.0,1
1,ari,100,1.1102230246251565e-16,0.0,1
1,chebyshev,10,0.0,0.0,1
1,chebyshev,20,0.0,0.0,1
1,chebyshev,30,0.0,0.0,1
1,chebyshev,40,0.0,0.0,1
1,chebyshev,50,0.0,0.0,1
1,chebyshev,60,0.0,0.0,1
1,chebyshev,70,0.0,0.0,1
1,chebyshev,80,0.0,0.0,1
1,chebyshev,90,0.0,0.0,1
1,chebyshev,100,0.0,0.0,1
1,cosine,10,0.0,0.0,1
1,cosine,20,0.0,0.0,1
1,cosine,30,0.0,0.0,1
1,cosine,40,0.0,0.0,1
1,cosine,50,0.0,0.0,1
1,cosine,60,0.0,0.0,1
1,cosine,70,0.0,0.0,1
1,cosine,80,0.0,0.0,1
1,cosine,90,0.0,0.0,1
1,cosine,100,0.0,0.0,1
1,cpcc,10,0.0,0.0,1
1,cpcc,20,0.0,0.0,1
1,cpcc,30,0.0,0.0,1
1,cpcc,40,0.0,0.0,1
1,cpcc,50,0.0,0.0,1
1,cpcc,60,0.0,0.0,1
1,cpcc,70,0.0,0.0,1
1,cpcc,80,0.0,0.0,1
1,cpcc,90,0.0,0.0,1
1,cpcc,100,0.0,0.0,1
1,euclidean,10,0.0,0.0,1
1,euclidean,20,0.0,0.0,1
1,euclidean,30,0.0,0.0,1
1,euclidean,40,0.0,0.0,1
1,euclidean,50,0.0,0.0,1
1,euclidean,60,0.0,0.0,1
1,euclidean,70,0.0,0.0,1
1,euclidean,80,0.0,0.0,1
1,euclidean,90,0.0,0.0,1
1,euclidean,100,0.0,0.0,1
1,ipwr,10,0.0,0.0,1
1,ipwr,20,2.220446049250313e-16,0.0,1
1,ipwr,30,0.0,0.0,1
1,ipwr,40,0.0,0.0,1
1,ipwr,50,0.0,0.0,1
1,ipwr,60,0.0,0.0,1
1,ipwr,70,0.0,0.0,1
1,ipwr,80,0.0,0.0,1
1,ipwr,90,0.0,0.0,1
1,ipwr,100,0.0,0.0,1
1,itr,10,0.0,0.0,1
1,itr,20,0.0,0.0,1
1,itr,30,0.0,0.0,1
1,itr,40,0.0,0.0,1
1,itr,50,0.0,0.0,1
1,itr,60,0.0,0.0,1
1,itr,70,0.0,0.0,1
1,itr,80,0.0,0.0,1
1,itr,90,0.0,0.0,1
1,itr,100,0.0,0.0,1
1,jaccard,10,1.1102230246251565e-16,0.0,1
1,jaccard,20,2.220446049250313e-16,0.0,1
1,jaccard,30,2.220446049250313e-16,0.0,1
1,jaccard,40,0.0,0.0,1
1,jaccard,50,0.0,0.0,1
1,jaccard,60,0.0,0.0,1
1,jaccard,70,0.0,0.0,1
1,jaccard,80,0.0,0.0,1
1,jaccard,90,0.0,0.0,1
1,jaccard,100,0.0,0.0,1
1,jmsd,10,2.220446049250313e-16,0.0,1
1,jmsd,20,0.0,0.0,1
1,jmsd,30,0.0,0.0,1
1,jmsd,40,0.0,0.0,1
1,jmsd,50,0.0,0.0,1
1,jmsd,60,0.0,0.0,1
1,jmsd,70,0.0,0.0,1
1,jmsd,80,0.0,0.0,1
1,jmsd,90,0.0,0.0,1
1,jmsd,100,0.0,0.0,1
1,kendall_tau_b,10,0.0,0.0,1
1,kendall_tau_b,20,0.0,0.0,1
1,kendall_tau_b,30,0.0,0.0,1
1,kendall_tau_b,40,0.0,0.0,1
1,kendall_tau_b,50,0.0,0.0,1
1,kendall_tau_b,60,0.0,0.0,1
1,kendall_tau_b,70,0.0,0.0,1
1,kendall_tau_b,80,0.0,0.0,1
1,kendall_tau_b,90,0.0,0.0,1
1,kendall_tau_b,100,0.0,0.0,1
1,manhattan,10,2.220446049250313e-16,0.0,1
1,manhattan,20,0.0,0.0,1
1,manhattan,30,0.0,0.0,1
1,manhattan,40,0.0,0.0,1
1,manhattan,50,4.440892098500626e-16,0.0,1
1,manhattan,60,0.0,0.0,1
1,manhattan,70,0.0,0.0,1
1,manhattan,80,0.0,0.0,1
1,manhattan,90,0.0,0.0,1
1,manhattan,100,4.440892098500626e-16,0.0,1
1,msd,10,0.0,0.0,1
1,msd,20,0.0,0.0,1
1,msd,30,0.0,0.0,1
1,msd,40,0.0,0.0,1
1,msd,50,0.0,0.0,1
1,msd,60,0.0,0.0,1
1,msd,70,0.0,0.0,1
1,msd,80,0.0,0.0,1
1,msd,90,0.0,0.0,1
1,msd,100,0.0,0.0,1
1,pcc,10,0.0,0.0,1
1,pcc,20,0.0,0.0,1
1,pcc,30,0.0,0.0,1
1,pcc,40,0.0,0.0,1
1,pcc,50,0.0,0.0,1
1,pcc,60,0.0,0.0,1
1,pcc,70,0.0,0.0,1
1,pcc,80,0.0,0.0,1
1,pcc,90,0.0,0.0,1
1,pcc,100,0.0,0.0,1
1,spcc,10,0.0,0.0,1
1,spcc,20,0.0,0.0,1
1,spcc,30,0.0,0.0,1
1,spcc,40,0.0,0.0,1
1,spcc,50,0.0,0.0,1
1,spcc,60,0.0,0.0,1
1,spcc,70,0.0,0.0,1
1,spcc,80,0.0,0.0,1
1,spcc,90,0.0,0.0,1
1,spcc,100,0.0,0.0,1
1,src,10,0.0,0.0,1
1,src,20,0.0,0.0,1
1,src,30,0.0,0.0,1
1,src,40,0.0,0.0,1
1,src,50,0.0,0.0,1
1,src,60,0.0,0.0,1
1,src,70,0.0,0.0,1
1,src,80,0.0,0.0,1
1,src,90,0.0,0.0,1
1,src,100,0.0,0.0,1
2,acos,10,0.0,0.0,1
2,acos,20,0.0,0.0,1
2,acos,30,2.7755575615628914e-17,0.0,1
2,acos,40,0.0,0.0,1
2,acos,50,0.0,0.0,1
2,acos,60,5.551115123125783e-17,0.0,1
2,acos,70,5.551115123125783e-17,0.0,1
2,acos,80,0.0,0.0,1
2,acos,90,0.0,0.0,1
2,acos,100,0.0,0.0,1
2,ami,10,0.0,0.0,1
2,ami,20,0.0,0.0,1
2,ami,30,0.0,0.0,1
2,ami,40,0.0,0.0,1
2,ami,50,0.0,0.0,1
2,ami,60,1.1102230246251565e-16,0.0,1
2,ami,70,0.0,0.0,1
2,ami,80,0.0,0.0,1
2,ami,90,0.0,0.0,1
2,ami,100,0.0,0.0,1
2,ari,10,2.7755575615628914e-17,0.0,1
2,ari,20,5.551115123125783e-17,0.0,1
2,ari,30,0.0,0.0,1
2,ari,40,0.0,0.0,1
2,ari,50,0.0,0.0,1
2,ari,60,0.0,0.0,1
2,ari,70,1.1102230246251565e-16,0.0,1
2,ari,80,1.1102230246251565e-16,0.0,1
2,ari,90,1.1102230246251565e-16,0.0,1
2,ari,100,1.1102230246251565e-16,0.0,1
2,chebyshev,10,0.0,0.0,1
2,chebyshev,20,0.0,0.0,1
2,chebyshev,30,0.0,0.0,1
2,chebyshev,40,0.0,0.0,1
2,chebyshev,50,0.0,0.0,1
2,chebyshev,60,0.0,0.0,1
2,chebyshev,70,0.0,0.0,1
2,chebyshev,80,0.0,0.0,1
2,chebyshev,90,0.0,0.0,1
2,chebyshev,100,0.0,0.0,1
2,cosine,10,2.220446049250313e-16,0.0,1
2,cosine,20,0.0,0.0,1
2,cosine,30,0.0,0.0,1
2,cosine,40,0.0,0.0,1
2,cosine,50,0.0,0.0,1
2,cosine,60,0.0,0.0,1
2,cosine,70,0.0,0.0,1
2,cosine,80,0.0,0.0,1
2,cosine,90,0.0,0.0,1
2,cosine,100,0.0,0.0,1
2,cpcc,10,0.0,0.0,1
2,cpcc,20,0.0,0.0,1
2,cpcc,30,0.0,0.0,1
2,cpcc,40,0.0,0.0,1
2,cpcc,50,0.0,0.0,1
2,cpcc,60,0.0,0.0,1
2,cpcc,70,0.0,0.0,1
2,cpcc,80,0.0,0.0,1
2,cpcc,90,0.0,0.0,1
2,cpcc,100,0.0,0.0,1
2,euclidean,10,0.0,0.0,1
2,euclidean,20,0.0,0.0,1
2,euclidean,30,0.0,0.0,1
2,euclidean,40,0.0,0.0,1
2,euclidean,50,0.0,0.0,1
2,euclidean,60,0.0,0.0,1
2,euclidean,70,0.0,0.0,1
2,euclidean,80,0.0,0.0,1
2,euclidean,90,0.0,0.0,1
2,euclidean,100,0.0,0.0,1
2,ipwr,10,0.0,0.0,1
2,ipwr,20,2.220446049250313e-16,0.0,1
2,ipwr,30,0.0,0.0,1
2,ipwr,40,2.220446049250313e-16,0.0,1
2,ipwr,50,0.0,0.0,1
2,ipwr,60,0.0,0.0,1
2,ipwr,70,0.0,0.0,1
2,ipwr,80,0.0,0.0,1
2,ipwr,90,0.0,0.0,1
2,ipwr,100,0.0,0.0,1
2,itr,10,0.0,0.0,1
2,itr,20,0.0,0.0,1
2,itr,30,0.0,0.0,1
2,itr,40,0.0,0.0,1
2,itr,50,0.0,0.0,1
2,itr,60,0.0,0.0,1
2,itr,70,0.0,0.0,1
2,itr,80,0.0,0.0,1
